nom,code,codeDepartement,codeRegion,population,lat,lon
L'Abergement-Clémenciat,01001,01,84,859,46.1517,4.9306
L'Abergement-de-Varey,01002,01,84,273,46.0071,5.4247
Ambérieu-en-Bugey,01004,01,84,15554,45.9575,5.3706
Ambérieux-en-Dombes,01005,01,84,1917,45.9992,4.9119
Ambléon,01006,01,84,114,45.7483,5.5928
Ambronay,01007,01,84,2828,46.0099,5.3627
Ambutrix,01008,01,84,764,45.9347,5.3359
Andert-et-Condon,01009,01,84,335,45.7841,5.6607
Anglefort,01010,01,84,1150,45.9086,5.7948
Apremont,01011,01,84,399,46.2045,5.6619
Aranc,01012,01,84,329,45.9972,5.514
Arandas,01013,01,84,140,45.8885,5.4982
Arbent,01014,01,84,3482,46.2838,5.6879
Arboys en Bugey,01015,01,84,688,45.7189,5.6404
Arbigny,01016,01,84,459,46.4808,4.9613
Argis,01017,01,84,420,45.9322,5.4819
Armix,01019,01,84,25,45.8523,5.5837
Ars-sur-Formans,01021,01,84,1513,45.9904,4.8195
Artemare,01022,01,84,1141,45.8701,5.692
Asnières-sur-Saône,01023,01,84,77,46.3859,4.882
Attignat,01024,01,84,3372,46.2858,5.1823
Bâgé-Dommartin,01025,01,84,4057,46.3277,4.9704
Bâgé-le-Châtel,01026,01,84,987,46.3081,4.9305
Balan,01027,01,84,2878,45.8268,5.1076
Baneins,01028,01,84,618,46.1117,4.9045
Beaupont,01029,01,84,717,46.4274,5.2634
Beauregard,01030,01,84,826,46.0012,4.7567
Bellignat,01031,01,84,3581,46.2402,5.6371
Béligneux,01032,01,84,3484,45.8622,5.1415
Valserhône,01033,01,84,16162,46.1234,5.7944
Belley,01034,01,84,9270,45.743,5.6927
Belleydoux,01035,01,84,306,46.2519,5.7816
Valromey-sur-Séran,01036,01,84,1350,45.9236,5.6626
Bénonces,01037,01,84,311,45.842,5.4834
Bény,01038,01,84,769,46.3189,5.2789
Béréziat,01040,01,84,481,46.3699,5.0431
Bettant,01041,01,84,762,45.9366,5.3648
Bey,01042,01,84,290,46.2182,4.844
Beynost,01043,01,84,4936,45.8359,4.9964
Billiat,01044,01,84,669,46.0778,5.7632
Birieux,01045,01,84,280,45.9509,5.0401
Biziat,01046,01,84,897,46.224,4.9393
Blyes,01047,01,84,1351,45.8442,5.2515
La Boisse,01049,01,84,3401,45.8483,5.0262
Boissey,01050,01,84,390,46.3723,4.9975
Bolozon,01051,01,84,99,46.1971,5.4701
Bouligneux,01052,01,84,323,46.0202,4.9957
Bourg-en-Bresse,01053,01,84,42065,46.2027,5.2469
Bourg-Saint-Christophe,01054,01,84,1540,45.8842,5.1393
Boyeux-Saint-Jérôme,01056,01,84,362,46.0356,5.4616
Boz,01057,01,84,509,46.4089,4.9166
Brégnier-Cordon,01058,01,84,812,45.6406,5.6174
Brénod,01060,01,84,547,46.0791,5.6116
Brens,01061,01,84,1117,45.7163,5.69
