nom;population;plus60ans;pct_15_29;pct_30_44;pct_45_59;pct_maison;pct_appartement;revenuMedian;tauxProprietaires;region;zoneChalandise;departement;lat;lon;score
APREMONT;400;34.5;15.0;15.1;20.9;88;12;25600;68;FRANCHE-COMTE;422;70;47.3925481381;5.52972879286;89
SALBRIS;5700;34.8;13.7;20.4;24.8;80;20;24900;68;CENTRE;446;41;47.4134591452;2.04499057381;89
SAINT-JUERY;200;34.4;15.0;21.0;20.6;90;10;25800;66;MIDI-PYRENEES;432;12;43.9242584641;2.69629046616;89
AVESNELLES;2500;35.0;17.5;21.2;21.7;87;13;25400;66;NORD-PAS-DE-CALAIS;426;59;50.1056589526;3.95096845588;89
SAINT-DENIS-DES-COUDRAIS;100;34.9;16.4;21.8;20.6;85;15;25400;67;PAYS DE LA LOIRE;445;72;48.1620373195;0.506879313638;89
LINIERES-BOUTON;100;34.8;17.3;20.1;22.8;84;16;25500;69;PAYS DE LA LOIRE;411;49;47.4501636334;0.0666355358883;88
VILLERS-CAMPSART;100;35.0;17.5;15.2;24.3;86;14;24200;68;PICARDIE;441;80;49.8698144741;1.83537806495;88
NONANCOURT;2200;34.4;13.1;21.1;20.2;85;15;24600;69;HAUTE-NORMANDIE;448;27;48.7770036234;1.17931073126;88
TREMAUVILLE;100;34.1;12.9;17.6;23.5;89;11;25200;64;HAUTE-NORMANDIE;425;76;49.6649596837;0.521421339648;88
SAINT-ANDRE-DE-L'EURE;3400;34.1;15.2;15.1;22.6;85;15;25600;67;HAUTE-NORMANDIE;443;27;48.9026554238;1.27831847187;88
CHEMILLA;100;34.8;15.6;18.5;23.6;88;12;24500;65;FRANCHE-COMTE;421;39;46.3507935799;5.55838223354;88
BOERSCH;2400;34.7;14.5;21.0;22.5;82;18;24600;67;ALSACE;427;67;48.4664860323;7.37505113728;88
DALHAIN;100;34.5;17.9;15.1;23.9;78;22;24900;65;LORRAINE;425;57;48.8880803541;6.56448695773;88
COULONGES-THOUARSAIS;400;34.2;12.3;16.3;23.7;78;22;25300;67;POITOU-CHARENTES;428;79;46.9231412518;-0.332982472624;88
SAINT-MARTIN-DU-TERTRE;2500;34.7;16.0;17.2;23.7;87;13;25300;66;ILE-DE-FRANCE;411;95;49.1039330244;2.33445740142;88
BOTZ-EN-MAUGES;800;33.5;14.8;18.8;22.2;79;21;25700;66;PAYS DE LA LOIRE;446;49;47.3084852544;-0.996148047252;88
FERRIERES-LES-SCEY;200;34.9;13.5;20.0;21.4;74;26;25300;65;FRANCHE-COMTE;434;70;47.6601846416;6.00409146195;88
REMILLY-EN-MONTAGNE;100;34.9;17.9;16.3;20.7;87;13;24200;64;BOURGOGNE;426;21;47.29010269;4.72932529701;88
SERE-EN-LAVEDAN;100;34.0;16.7;20.3;23.4;89;11;25800;67;MIDI-PYRENEES;447;65;43.0198406053;-0.128367115293;88
ANGOMONT;100;34.3;13.0;20.0;23.1;79;21;25300;66;LORRAINE;419;54;48.504868026;6.97199355795;88
LE FUGERET;200;33.7;16.6;21.6;20.7;88;12;25300;68;PROVENCE-ALPES-COTE D'AZUR;420;04;44.0145000822;6.66560747142;88
YOUX;1000;35.0;15.7;19.0;20.1;79;21;24500;66;AUVERGNE;418;63;46.1408722674;2.8044100996;88
VIEILLE-EGLISE;1300;34.7;12.2;17.8;22.8;88;12;25300;63;NORD-PAS-DE-CALAIS;415;62;50.9332624726;2.07653957537;88
LACHAPELLE-SOUS-GERBEROY;200;34.3;13.4;19.0;23.0;85;15;25400;67;PICARDIE;444;60;49.5415853366;1.87591010386;88
LUNEVILLE;19900;34.3;16.6;20.3;20.3;72;28;25100;66;LORRAINE;428;54;48.5920244663;6.49810324732;88
SAINT-ANDRE-DES-EAUX;5300;34.8;12.8;15.3;24.6;79;21;25400;60;PAYS DE LA LOIRE;446;44;47.3234376088;-2.31269060612;88
ROUGEMONT;200;34.5;12.9;20.6;21.4;89;11;25700;68;BOURGOGNE;410;21;47.670003344;4.25730473718;88
LE FOLGOET;3000;34.5;13.1;18.7;24.1;82;18;25700;64;BRETAGNE;418;29;48.5666216124;-4.35251906312;88
SAINT-JULIEN-SUR-REYSSOUZE;600;34.8;13.6;20.1;20.9;88;12;25600;60;RHONE-ALPES;430;01;46.3997655501;5.10354296019;88
EPINEAU-LES-VOVES;700;33.9;13.0;16.0;24.5;85;15;25000;65;BOURGOGNE;441;89;47.9468458779;3.46998413292;88
NOTRE-DAME-DE-SANILHAC;3000;34.8;15.0;20.5;22.2;86;14;25200;64;AQUITAINE;410;24;45.1273768173;0.712740186269;88
FRUGIERES-LE-PIN;100;34.6;13.7;15.2;24.6;82;18;24400;69;AUVERGNE;430;43;45.2712815558;3.49959793979;88
RAULHAC;300;34.6;12.8;16.7;22.9;84;16;25000;62;AUVERGNE;434;15;44.9019840026;2.65720291985;88
BAYENGHEM-LES-EPERLECQUES;900;34.8;12.1;17.6;20.1;86;14;24400;63;NORD-PAS-DE-CALAIS;431;62;50.8060919083;2.11581614167;88
YTRES;400;34.5;17.0;16.0;23.0;88;12;24900;67;NORD-PAS-DE-CALAIS;422;62;50.0647969783;2.99626975733;88
SAINT-GENIES-DE-COMOLAS;1800;34.1;17.8;15.2;22.2;81;19;25500;62;LANGUEDOC-ROUSSILLON;431;30;44.0657349298;4.73124185894;88
BEAUFORT;600;34.1;12.6;16.3;23.4;87;13;24800;68;RHONE-ALPES;430;38;45.3294079707;5.11631301221;88
BIARNE;400;34.7;16.6;16.6;24.5;86;14;25900;63;FRANCHE-COMTE;412;39;47.1454413505;5.45151056819;88
SAINT-JEAN-DU-DOIGT;600;34.6;14.0;21.8;21.9;87;13;25500;61;BRETAGNE;441;29;48.6703251838;-3.76283111411;88
FIX-SAINT-GENEYS;100;34.6;13.9;16.5;20.6;82;18;24900;66;AUVERGNE;430;43;45.1415144345;3.66508807208;88
FERREUX-QUINCEY;300;33.8;13.3;18.4;20.3;82;18;25900;69;CHAMPAGNE-ARDENNE;422;10;48.4624429856;3.60107070347;88
SEDZE-MAUBECQ;200;34.6;15.1;19.3;20.2;90;10;25400;69;AQUITAINE;441;64;43.3560996127;-0.120159115391;88
BOISLEUX-SAINT-MARC;200;34.5;18.0;16.5;23.9;83;17;25000;64;NORD-PAS-DE-CALAIS;423;62;50.212910679;2.79651597969;88
BERCLOUX;400;34.4;16.1;21.4;20.8;86;14;25500;62;POITOU-CHARENTES;418;17;45.8393523202;-0.459046739442;88
SAINTE-MARIE;700;34.9;15.7;16.5;22.7;76;24;25900;66;FRANCHE-COMTE;411;25;47.5016165362;6.69552545899;88
SEYCHALLES;600;33.8;13.8;19.0;22.3;90;10;25900;67;AUVERGNE;417;63;45.8064341619;3.33651456543;88
LANSAC;100;34.0;13.5;20.1;24.5;84;16;26000;59;LANGUEDOC-ROUSSILLON;427;66;42.768061594;2.56512635708;87
BORT-LES-ORGUES;3100;34.9;12.2;15.5;24.2;77;23;23300;69;LIMOUSIN;437;19;45.3932255345;2.49171563604;87
GARCHES;18300;34.7;15.6;15.9;21.1;78;22;24700;61;ILE-DE-FRANCE;405;92;48.8450113548;2.18665007789;87
PIOGGIOLA;100;34.2;16.4;17.5;23.1;90;10;25700;59;CORSE;430;2B;42.5232293967;8.97529988566;87
VALONNE;200;34.4;17.6;15.8;22.0;88;12;24500;64;FRANCHE-COMTE;436;25;47.3423640011;6.66820326069;87
LE HAMEL;500;33.3;16.4;19.5;23.8;85;15;25300;69;PICARDIE;427;80;49.8958798781;2.57277507788;87
FRAYSSINHES;200;34.7;13.1;16.3;22.1;82;18;25000;60;MIDI-PYRENEES;430;46;44.8726104417;1.94132532683;87
BRANSLES;500;33.7;16.2;21.7;22.2;76;24;25700;63;ILE-DE-FRANCE;429;77;48.1490796752;2.82814445347;87
